seed,track,year,race_name,lap_index,action_a,action_name_a,reward_a,position_after_a,action_b,action_name_b,reward_b,position_after_b,actions_disagree,reward_b_minus_a
1001,Monaco,2022,LAT,0,0,stay_out,-2.028015135048592,1,0,stay_out,-2.028015135048592,1,False,0.0
1001,Monaco,2022,LAT,1,0,stay_out,-0.102039704537789,1,0,stay_out,-0.102039704537789,1,False,0.0
1001,Monaco,2022,LAT,2,0,stay_out,-0.242299085338611,1,0,stay_out,-0.242299085338611,1,False,0.0
1001,Monaco,2022,LAT,3,0,stay_out,-0.4611114163237204,1,0,stay_out,-0.4611114163237204,1,False,0.0
1001,Monaco,2022,LAT,4,0,stay_out,-0.6142130484326942,1,0,stay_out,-0.6142130484326942,1,False,0.0
1001,Monaco,2022,LAT,5,0,stay_out,-3.1642550611991043,3,0,stay_out,-3.1642550611991043,3,False,0.0
1001,Monaco,2022,LAT,6,0,stay_out,-3.453333980935389,5,0,stay_out,-3.453333980935389,5,False,0.0
1001,Monaco,2022,LAT,7,0,stay_out,-3.557352536951831,7,0,stay_out,-3.557352536951831,7,False,0.0
1001,Monaco,2022,LAT,8,0,stay_out,-3.6126565009198415,9,0,stay_out,-3.6126565009198415,9,False,0.0
1001,Monaco,2022,LAT,9,0,stay_out,-1.8823498420056224,9,0,stay_out,-1.8823498420056224,9,False,0.0
1001,Monaco,2022,LAT,10,0,stay_out,-2.876758685273316,10,0,stay_out,-2.876758685273316,10,False,0.0
1001,Monaco,2022,LAT,11,0,stay_out,-4.176809338617055,12,0,stay_out,-4.176809338617055,12,False,0.0
1001,Monaco,2022,LAT,12,0,stay_out,-5.5042296623015625,15,0,stay_out,-5.5042296623015625,15,False,0.0
1001,Monaco,2022,LAT,13,0,stay_out,-6.715522090059928,19,0,stay_out,-6.715522090059928,19,False,0.0
1001,Monaco,2022,LAT,14,0,stay_out,-2.65571192416588,19,0,stay_out,-2.65571192416588,19,False,0.0
1001,Monaco,2022,LAT,15,0,stay_out,-1.7858962096461102,18,0,stay_out,-1.7858962096461102,18,False,0.0
1001,Monaco,2022,LAT,16,0,stay_out,-3.652589602026798,19,0,stay_out,-3.652589602026798,19,False,0.0
1001,Monaco,2022,LAT,17,0,stay_out,-3.2648689168821763,19,0,stay_out,-3.2648689168821763,19,False,0.0
1001,Monaco,2022,LAT,18,0,stay_out,-2.354945290378612,18,0,stay_out,-2.354945290378612,18,False,0.0
1001,Monaco,2022,LAT,19,0,stay_out,-3.989190563739449,18,0,stay_out,-3.989190563739449,18,False,0.0
1001,Monaco,2022,LAT,20,0,stay_out,-3.0257271821151117,18,0,stay_out,-3.0257271821151117,18,False,0.0
1001,Monaco,2022,LAT,21,0,stay_out,-7.040122735173689,18,0,stay_out,-7.040122735173689,18,False,0.0
1001,Monaco,2022,LAT,22,2,pit_medium,-8.327468350238213,18,0,stay_out,-7.997395195924163,18,True,0.33007315431405004
1001,Monaco,2022,LAT,23,0,stay_out,-4.185044957260601,17,0,stay_out,-16.281674957260606,17,False,-12.096630000000005
1001,Monaco,2022,LAT,24,0,stay_out,-5.049705689995034,17,0,stay_out,-17.213835689995047,17,False,-12.164130000000014
1001,Monaco,2022,LAT,25,0,stay_out,-1.676834235460905,17,0,stay_out,-13.90576423546092,17,False,-12.228930000000014
1001,Monaco,2022,LAT,26,0,stay_out,-0.6840982924078829,17,0,stay_out,-12.97512829240786,17,False,-12.291029999999976
1001,Monaco,2022,LAT,27,0,stay_out,2.52011463622848,13,0,stay_out,-9.830315363771543,13,False,-12.350430000000024
1001,Monaco,2022,LAT,28,0,stay_out,33.00798125898615,1,1,pit_soft,58.569910302667175,1,True,25.561929043681026
1001,Monaco,2022,LAT,29,0,stay_out,0.0,1,0,stay_out,0.0,1,False,0.0
1001,Monaco,2022,LAT,30,0,stay_out,-0.0056990980594648,1,0,stay_out,-0.0006990980594636,1,False,0.0050000000000012
1001,Monaco,2022,LAT,31,0,stay_out,-0.0118903871065441,1,0,stay_out,-0.0018903871065433,1,False,0.0100000000000008
